mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_train_r2,split1_train_r2,split2_train_r2,split3_train_r2,split4_train_r2,mean_train_r2,std_train_r2,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_train_neg_mean_absolute_error,split1_train_neg_mean_absolute_error,split2_train_neg_mean_absolute_error,split3_train_neg_mean_absolute_error,split4_train_neg_mean_absolute_error,mean_train_neg_mean_absolute_error,std_train_neg_mean_absolute_error,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_train_neg_mean_squared_error,split1_train_neg_mean_squared_error,split2_train_neg_mean_squared_error,split3_train_neg_mean_squared_error,split4_train_neg_mean_squared_error,mean_train_neg_mean_squared_error,std_train_neg_mean_squared_error,test_root_mean_squared_error,test_mean_absolute_error,train_root_mean_squared_error,train_mean_absolute_error
0.1449817657470703,0.05085435127793098,0.02914705276489258,0.006884350554711936,LinearRegression(),{'classifier': LinearRegression()},0.7802159174517943,0.8063685416692262,0.7892285464662927,0.7917622560858597,0.7674032084758162,0.7869956940297979,0.012906152254863409,3,0.8301497464595401,0.8250512826988978,0.8288638071726345,0.8280067353005519,0.8335833811078907,0.8291309905479031,0.002787149018499493,-44.30217151791393,-44.00304885115235,-44.17031472148064,-44.97351654391689,-45.67772512002277,-44.62535535089732,0.6208821935344189,2,-40.596196431082305,-40.395571096927824,-40.347954342306906,-40.10130597473399,-40.005400368032,-40.289285642616605,0.21206605143745472,-3541.332494295938,-3622.484236633537,-3616.0861882392473,-3800.4427973826,-3807.0570113309964,-3677.480545576464,106.99526047853854,3,-2995.27286585194,-2973.1900371701154,-2977.381649636685,-2944.9928911457946,-2927.7367763124926,-2963.714844023406,24.15534093459001,60.64223400878684,44.62535535089732,54.44001142563626,40.289285642616605
0.08736023902893067,0.013327754550867283,0.03038482666015625,0.0050680665868447945,Ridge(),{'classifier': Ridge()},0.7825882457183876,0.806749894161522,0.7907526740282045,0.7936855238943967,0.7703561428771191,0.788826496135926,0.012071770595826179,2,0.8298458187917886,0.8247530060564008,0.8285747322209284,0.8276955025348651,0.833275829906384,0.8288289779020733,0.0027846512135060357,-44.187683720384605,-43.98806466955078,-44.07062144248087,-44.874866623573745,-45.55680952101659,-44.53560919540132,0.599168834624667,1,-40.69773564421123,-40.51163936486064,-40.44227857394989,-40.21842469131204,-40.12134554153699,-40.39828476317415,0.20664003929306538,-3503.1076916613742,-3615.3498412008357,-3589.937596798887,-3765.342199609095,-3758.724489017113,-3646.4923636574613,101.43845029503296,2,-3000.632565219011,-2978.2591405935277,-2982.4108982272965,-2950.3220433311485,-2933.147467680005,-2968.954423010198,24.08511079857598,60.38619348541073,44.53560919540132,54.48811267616266,40.39828476317415
0.20983223915100097,0.006786999256602512,0.028178834915161134,0.003969194924011483,Lasso(),{'classifier': Lasso()},0.6181117898361874,0.6214198701417639,0.6206861515718014,0.6178122855125094,0.6153521573128983,0.6186764508750321,0.0021763178864075833,8,0.6298424854311452,0.624613352382176,0.624641930453623,0.6256831572295238,0.6316023665231671,0.6272766584039271,0.002893767627052867,-60.484867852128495,-63.07273322080549,-61.06701175451909,-63.55515108790963,-61.56189382440258,-61.94833154795306,1.1759194562024593,8,-61.8673224168529,-60.89361331944552,-61.73966225361861,-61.02516131664017,-61.440973186278576,-61.393346498567155,0.3826616398855934,-6153.280584116014,-7082.529690869872,-6507.672387853646,-6975.11661176555,-6295.771565890313,-6602.874168099079,367.19031452241256,8,-6527.648539630687,-6379.560010509274,-6530.379166713161,-6409.32331229089,-6481.1513839003655,-6465.612482608875,61.41360084470584,81.25807140277868,61.94833154795306,80.40903234468672,61.393346498567155
0.09193921089172363,0.001096877419269308,0.028647804260253908,0.004491021290240736,ElasticNet(),{'classifier': ElasticNet()},0.21225130183679453,0.21173565990933096,0.20934443056100027,0.21247216594222096,0.20800124607207793,0.21076096086428492,0.0017732434179186121,10,0.21707597089422004,0.21151124603301386,0.2175616298435592,0.21396150090368093,0.21950329384987144,0.21592272830486908,0.0028335138997201315,-92.21765794456951,-96.72261903168281,-93.47381480499878,-94.75357532851311,-92.70090052684965,-93.97371352732277,1.6197746002040039,10,-94.44207946639062,-93.06893573210213,-93.67727865773927,-93.52720143319874,-94.0908798572547,-93.7612750293371,0.47187150061111177,-12692.821198881931,-14746.95884075241,-13564.828805650244,-14372.776176048312,-12963.138439479339,-13668.104692162447,789.8492758183769,10,-13806.697673520985,-13400.080571499864,-13612.653213721056,-13459.118855908304,-13731.134099461291,-13601.9368828223,154.83972434427258,116.91066971052064,93.97371352732277,116.6273419178466,93.7612750293371
0.05487217903137207,0.0018248326140864737,0.024527215957641603,0.0011556830080135991,LinearSVR(),{'classifier': LinearSVR()},0.6643944615197008,0.6071154148550394,0.6216558658550482,0.6210565190832804,0.6365748738485411,0.6301594270323221,0.0194904875631928,7,0.649762195798355,0.6420078779873413,0.6475358173477619,0.6498083855535518,0.6511569853276769,0.6480542524029375,0.003238778283066245,-51.06276622367778,-57.449166948658856,-54.244869456980794,-55.97043179871819,-54.08976975368467,-54.56340083634406,2.139514595302463,7,-52.86499767561222,-51.94193569560456,-52.109224255227375,-51.681048349447096,-52.24531569871037,-52.16850433492033,0.39584435657943196,-5407.538093325276,-7350.139428649519,-6491.035550334155,-6915.907729286749,-5948.406104582525,-6422.605381235645,687.5428505499274,7,-6176.3687109884495,-6083.946352813414,-6132.077453899976,-5996.233729767491,-6137.130594379027,-6105.151368369671,61.8583859330962,80.14115909590805,54.56340083634406,78.1354680562526,52.16850433492033
0.2987514495849609,0.018136978830520446,0.02544999122619629,0.002519724147063638,SGDRegressor(),{'classifier': SGDRegressor()},0.78338676321251,0.805934881561904,0.7906899383344925,0.7959679982424005,0.7726888444581597,0.7897336851618932,0.011252287388391981,1,0.8275115068556304,0.8227905133901294,0.8265769223362103,0.8261289454827815,0.830357025005231,0.8266729826139965,0.002435325953362486,-44.310641349391766,-44.333156188485425,-44.25327864029811,-44.8765501999708,-45.79078294975216,-44.712881865579654,0.5841031104761568,3,-41.13040585222685,-40.92350811933416,-40.842533435950344,-40.49485103135071,-40.694708219480546,-40.81720133166853,0.21398794309856903,-3490.241355226027,-3630.5972101987536,-3591.0139174852898,-3723.685903142216,-3720.5437047885393,-3631.2164181681646,87.20156264371703,1,-3041.797656568984,-3011.6109921154516,-3017.1682595542643,-2977.1457645392006,-2984.497462102899,-3006.44402697616,23.373599252523064,60.259575323496634,44.712881865579654,54.831049843826264,40.81720133166853
0.0701894760131836,0.0025057572709560045,0.026914215087890624,0.002071819033996343,PassiveAggressiveRegressor(),{'classifier': PassiveAggressiveRegressor()},0.7593375021321683,0.7787820101399029,0.7602298261580118,0.7677215185601779,0.7415110319291474,0.7615163777838816,0.012191984331241029,4,0.8034623210633924,0.7973024376207698,0.8018258247085077,0.8077654157054099,0.8108208084366099,0.8042353615069381,0.004696770946712695,-44.83831949878715,-45.81340520756238,-45.91704292536546,-46.105799988523984,-46.51372970297885,-45.837659464643565,0.553992902100783,4,-41.38744700673721,-40.33345216895062,-41.03179654874332,-39.7512242485458,-40.1365892138584,-40.528101837367075,0.5978113244464718,-3877.741799936079,-4138.57690292776,-4113.600772047047,-4239.198260517632,-4230.850442077298,-4119.993635501163,130.82135342184725,4,-3465.89990044443,-3444.771601196521,-3447.7812273174673,-3291.5793834672854,-3328.194504494076,-3395.6453233839557,71.33944500524676,64.18717656589331,45.837659464643565,58.27216594038663,40.528101837367075
0.05303201675415039,0.0039015253973011454,0.6483815670013428,0.19724968222856268,KNeighborsRegressor(),{'classifier': KNeighborsRegressor()},0.4514503420430839,0.4795278824358846,0.4194076800289309,0.4649976733528285,0.44567950052107497,0.45221261567636056,0.020144517643720255,9,0.6414654008423881,0.6463262699187224,0.6500386753604074,0.647900219381347,0.6478819613716332,0.6467225053748996,0.002881752330253636,-70.28791366906475,-70.72992805755396,-72.31461483081354,-71.44809215262778,-70.57883369330453,-71.07187648067291,0.7294593125005389,9,-57.75526363145582,-56.04808349829044,-56.81799208348327,-56.57236415976969,-57.25940985966176,-56.89062264653219,0.5831027217879662,-8838.659769784172,-9737.064719424461,-9960.892872570194,-9764.059582433407,-9072.909949604033,-9474.717378763253,437.0194825915337,9,-6322.680914162318,-6010.556847219723,-6088.5334005037785,-6028.906729039223,-6194.747484706728,-6129.085075126354,116.20669608423961,97.338159931053,71.07187648067291,78.28847344996807,56.89062264653219
0.5039570808410645,0.04804042133326189,0.02741837501525879,0.005344767262834362,DecisionTreeRegressor(),{'classifier': DecisionTreeRegressor()},0.6381824402941119,0.6641351958271691,0.6550229055319474,0.684569606964523,0.6274500960168065,0.6538720489269115,0.019966372426299048,6,0.9789363960324295,0.9772076939527262,0.9758286417576755,0.9752762962098769,0.9771901478320215,0.9768878351569459,0.0012735189592848702,-49.60221822541966,-50.846103117506004,-50.2622030237581,-49.8386729061675,-51.37323014158868,-50.38448548288799,0.6504634150394012,5,-6.656589286785437,-6.747705596544899,-7.060777258006477,-7.071938347127263,-6.883801127503898,-6.884162323193595,0.16544650251566428,-5829.8866157074335,-6283.4054406474825,-5918.576190704744,-5756.762164026878,-6097.757044436445,-5977.277491104597,190.80176443499798,6,-371.45214744166515,-387.3469797852558,-420.52681720043176,-423.3371116708649,-401.2895076166486,-400.79051274297325,19.695624334734298,77.31285463042092,50.38448548288799,20.01975306398591,6.884162323193595
0.7297045707702636,0.035778569946803104,0.03252077102661133,0.008149370859486332,GradientBoostingRegressor(),{'classifier': GradientBoostingRegressor()},0.7074858825259525,0.7088754471352132,0.7040054479893753,0.7237233316648075,0.7145194512776805,0.7117219121186057,0.006891305025025744,5,0.7361586242456277,0.7310800166097128,0.7357014285950383,0.7388063214427277,0.7402002408262168,0.7363893263438647,0.00313305381772675,-51.3517074121899,-54.31001086317609,-53.005564910071364,-52.802096842771185,-51.971370085908525,-52.688150022823415,1.0043924535133615,6,-51.65607593663238,-50.83771057745652,-50.998873260317154,-50.14554628566378,-51.126458551693055,-50.95293292235257,0.4882173956523446,-4713.21552152868,-5446.3986004182825,-5078.2105136856735,-5042.187139197321,-4672.6385067049605,-4990.530056306983,281.4714318849119,5,-4652.786187910316,-4570.197642751838,-4598.19576166528,-4472.346797460697,-4570.609080234589,-4572.827094004544,58.55791934422925,70.64368376795609,52.688150022823415,67.62268180133456,50.95293292235257
